prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,pattern_s,decode_s,verify_s
implement linked list in python only code no comments,spec_eval,90,1,0,1,0,284,284,none,,,,656 16042 198 286 1393 1537 5084 4529 510 310 1537 5084, self.head\n        while last_node.next:\n            last_node,,,,, =,,no_pattern_fired,4,0,6.70000008540228e-05,0.04769650000525871,9.709999721962959e-05
implement linked list in python only code no comments,spec_eval,91,1,0,1,0,1537,1537,none,,,,16042 198 286 1393 1537 5084 4529 510 310 1537 5084 284,.head\n        while last_node.next:\n            last_node =,,,,, last,,no_pattern_fired,4,0,6.440000288421288e-05,0.046476600000460166,0.0001616000008652918
implement linked list in python only code no comments,spec_eval,92,1,0,1,0,5084,5084,none,,,,198 286 1393 1537 5084 4529 510 310 1537 5084 284 1537,\n        while last_node.next:\n            last_node = last,,,,,_node,,no_pattern_fired,4,0,0.0001173999989987351,0.04692439999780618,7.360000017797574e-05
implement linked list in python only code no comments,spec_eval,93,1,0,1,0,4529,4529,none,,,,286 1393 1537 5084 4529 510 310 1537 5084 284 1537 5084,        while last_node.next:\n            last_node = last_node,,,,,.next,,no_pattern_fired,4,0,5.5500000598840415e-05,0.04723850000300445,0.00012240000069141388
implement linked list in python only code no comments,spec_eval,94,1,0,1,0,198,198,none,,,,1393 1537 5084 4529 510 310 1537 5084 284 1537 5084 4529, while last_node.next:\n            last_node = last_node.next,,,,,\n,,no_pattern_fired,4,0,0.00010840000322787091,0.0475256999998237,0.0001281000004382804
implement linked list in python only code no comments,spec_eval,95,1,0,1,0,286,286,none,,,,1537 5084 4529 510 310 1537 5084 284 1537 5084 4529 198, last_node.next:\n            last_node = last_node.next\n,,,,,       ,,no_pattern_fired,4,0,7.420000474667177e-05,0.046921900000597816,0.0001303999961237423
implement linked list in python only code no comments,spec_eval,96,1,0,1,0,1537,1537,none,,,,5084 4529 510 310 1537 5084 284 1537 5084 4529 198 286,_node.next:\n            last_node = last_node.next\n       ,,,,, last,,no_pattern_fired,4,0,0.0001382000045850873,0.04674209999939194,0.00015159999747993425
implement linked list in python only code no comments,spec_eval,97,1,0,1,0,5084,5084,none,,,,4529 510 310 1537 5084 284 1537 5084 4529 198 286 1537,.next:\n            last_node = last_node.next\n        last,,,,,_node,,no_pattern_fired,4,0,7.609999738633633e-05,0.04686719999881461,0.0001531999951112084
implement linked list in python only code no comments,spec_eval,98,1,0,1,0,4529,4529,none,,,,510 310 1537 5084 284 1537 5084 4529 198 286 1537 5084,:\n            last_node = last_node.next\n        last_node,,,,,.next,,no_pattern_fired,4,0,5.03999981447123e-05,0.0473375000001397,0.0001269999993382953
implement linked list in python only code no comments,spec_eval,99,1,0,1,0,284,284,none,,,,310 1537 5084 284 1537 5084 4529 198 286 1537 5084 4529,            last_node = last_node.next\n        last_node.next,,,,, =,,no_pattern_fired,4,0,0.00010880000627366826,0.04705639999883715,0.0001221999991685152
implement linked list in python only code no comments,spec_eval,100,1,0,1,0,501,501,none,,,,1537 5084 284 1537 5084 4529 198 286 1537 5084 4529 284, last_node = last_node.next\n        last_node.next =,,,,, new,,no_pattern_fired,4,0,8.130000060191378e-05,0.046641200002341066,0.00013390000094659626
implement linked list in python only code no comments,spec_eval,101,1,0,1,0,5084,5084,none,,,,5084 284 1537 5084 4529 198 286 1537 5084 4529 284 501,_node = last_node.next\n        last_node.next = new,,,,,_node,,no_pattern_fired,4,0,5.750000127591193e-05,0.04511329999513691,0.00016279999545076862
implement linked list in python only code no comments,spec_eval,102,1,0,1,0,271,271,none,,,,284 1537 5084 4529 198 286 1537 5084 4529 284 501 5084, = last_node.next\n        last_node.next = new_node,,,,,\n\n,,no_pattern_fired,4,0,7.77000022935681e-05,0.0458197999978438,9.040000441018492e-05
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,73647,73647,det_ctx4,det_ctx4|det_ctx5,1.000|1.000,3|3,1537 5084 4529 198 286 1537 5084 4529 284 501 5084 271, last_node.next\n        last_node.next = new_node\n\n,262 707,    def,262 707,    def, prepend,,draft_accepted,4,0,0.00012290000449866056,0.06935489999887068,0.00042079999548150226
implement linked list in python only code no comments,spec_eval,106,1,0,1,0,1193,1193,none,,,,198 286 1537 5084 4529 284 501 5084 271 262 707 73647,\n        last_node.next = new_node\n\n    def prepend,,,,,(self,,no_pattern_fired,4,0,6.379999831551686e-05,0.04638939999858849,0.00013329999637790024
implement linked list in python only code no comments,spec_eval,107,1,0,1,0,11,11,none,,,,286 1537 5084 4529 284 501 5084 271 262 707 73647 1193,        last_node.next = new_node\n\n    def prepend(self,,,,,",",,no_pattern_fired,4,0,9.300000237999484e-05,0.04723480000393465,0.0001218999968841672
implement linked list in python only code no comments,spec_eval,108,1,0,1,0,821,821,none,,,,1537 5084 4529 284 501 5084 271 262 707 73647 1193 11," last_node.next = new_node\n\n    def prepend(self,",,,,, data,,no_pattern_fired,4,0,0.0002097000033245422,0.044906600000103936,0.00017019999359035864
implement linked list in python only code no comments,spec_eval,109,1,0,1,0,982,982,none,,,,5084 4529 284 501 5084 271 262 707 73647 1193 11 821,"_node.next = new_node\n\n    def prepend(self, data",,,,,):\n,,no_pattern_fired,4,0,0.0001897000038297847,0.04616469999746187,0.00014620000001741573
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,501,501,syntax_indent,syntax_indent,0.980,999,4529 284 501 5084 271 262 707 73647 1193 11 821 982,".next = new_node\n\n    def prepend(self, data):\n",286,       ,286,       , new,,draft_accepted,4,0,0.00011700000322889537,0.055612200005271006,0.00026980000257026404
implement linked list in python only code no comments,spec_eval,5,1,12,7,6,501,501,det_ctx5,det_ctx5|det_ctx7|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|syntax_indent,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|0.980,3|3|3|3|3|3|3|3|3|3|3|999,501 5084 271 262 707 73647 1193 11 821 982 286 501," new_node\n\n    def prepend(self, data):\n        new",5084 284 6018 2592 340 286 421 537 656 16042 510 310,_node = Node(data)\n        if not self.head:\n           ,5084 284 6018 2592 340 286 501 537 656 16042 510 310,_node = Node(data)\n        new not self.head:\n           , new,6,draft_token_mismatch,5,0,0.0004839999965042807,0.1158071999961976,0.0014762999999220483
implement linked list in python only code no comments,spec_eval,119,1,0,1,0,5084,5084,none,,,,11 821 982 286 501 5084 284 6018 2592 340 286 501,", data):\n        new_node = Node(data)\n        new",,,,,_node,,no_pattern_fired,5,0,0.00011130000348202884,0.04749240000091959,0.00014450000162469223
implement linked list in python only code no comments,spec_eval,120,1,0,1,0,4529,4529,none,,,,821 982 286 501 5084 284 6018 2592 340 286 501 5084, data):\n        new_node = Node(data)\n        new_node,,,,,.next,,no_pattern_fired,5,0,5.3800002206116915e-05,0.04469249999965541,0.00013050000416114926
implement linked list in python only code no comments,spec_eval,121,1,0,1,0,284,284,none,,,,982 286 501 5084 284 6018 2592 340 286 501 5084 4529,):\n        new_node = Node(data)\n        new_node.next,,,,, =,,no_pattern_fired,5,0,8.64000030560419e-05,0.046116199999232776,0.0001514999967184849
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,198,198,det_ctx4,det_ctx4|det_ctx5,1.000|1.000,4|4,286 501 5084 284 6018 2592 340 286 501 5084 4529 284,        new_node = Node(data)\n        new_node.next =,656 16042, self.head,656 16042, self.head,\n,,draft_accepted,5,0,0.00016930000128922984,0.07001409999793395,0.00037039999733678997
implement linked list in python only code no comments,spec_eval,125,1,0,1,0,286,286,none,,,,284 6018 2592 340 286 501 5084 4529 284 656 16042 198, = Node(data)\n        new_node.next = self.head\n,,,,,       ,,no_pattern_fired,5,0,6.710000161547214e-05,0.04656550000072457,0.00014489999739453197
implement linked list in python only code no comments,spec_eval,126,1,1,1,0,656,656,det_ctx8,det_ctx8,1.000,2,6018 2592 340 286 501 5084 4529 284 656 16042 198 286, Node(data)\n        new_node.next = self.head\n       ,770, else,656, self, self,0,draft_token_mismatch,6,0,8.019999950192869e-05,0.10178769999765791,0.0002344999957131222
implement linked list in python only code no comments,spec_eval,127,1,0,1,0,16042,16042,none,,,,2592 340 286 501 5084 4529 284 656 16042 198 286 656,(data)\n        new_node.next = self.head\n        self,,,,,.head,,no_pattern_fired,6,0,3.4999975468963385e-06,0.046796000002359506,7.560000085504726e-05
"implement fibonacci in python, no comments, only code:",spec_eval,1,1,0,1,0,12669,12669,none,,,,94474 75698 304 10135 11 902 6042 11 1172 2038 25 54275,"implement fibonacci in python, no comments, only code: ```",,,,,python,,no_pattern_fired,0,0,2.300000051036477e-05,0.03248599999642465,0.00012760000390699133
"implement fibonacci in python, no comments, only code:",spec_eval,2,1,0,1,0,198,198,none,,,,75698 304 10135 11 902 6042 11 1172 2038 25 54275 12669," fibonacci in python, no comments, only code: ```python",,,,,\n,,no_pattern_fired,0,0,7.690000347793102e-05,0.03251000000454951,0.0001303000026382506
"implement fibonacci in python, no comments, only code:",spec_eval,0,1,1,2,1,15801,15801,syntax_code_fence_def,syntax_code_fence_def,0.970,999,304 10135 11 902 6042 11 1172 2038 25 54275 12669 198," in python, no comments, only code: ```python\n",750,def,750,def, fib,,draft_accepted,0,0,0.00010569999722065404,0.03504539999994449,0.00024449999909847975
"implement fibonacci in python, no comments, only code:",spec_eval,5,1,0,1,0,1445,1445,none,,,,11 902 6042 11 1172 2038 25 54275 12669 198 750 15801,", no comments, only code: ```python\ndef fib",,,,,(n,,no_pattern_fired,0,0,8.97999998414889e-05,0.03282739999849582,0.00012399999832268804
"implement fibonacci in python, no comments, only code:",spec_eval,6,1,0,1,0,982,982,none,,,,902 6042 11 1172 2038 25 54275 12669 198 750 15801 1445," no comments, only code: ```python\ndef fib(n",,,,,):\n,,no_pattern_fired,0,0,8.179999713320285e-05,0.03265870000177529,0.00012520000018412247
"implement fibonacci in python, no comments, only code:",spec_eval,7,1,1,1,0,470,470,syntax_indent,syntax_indent,0.980,999,6042 11 1172 2038 25 54275 12669 198 750 15801 1445 982," comments, only code: ```python\ndef fib(n):\n",262,   ,470, return, return,0,draft_token_mismatch,1,0,8.630000229459256e-05,0.06715149999945424,0.0001568000006955117
"implement fibonacci in python, no comments, only code:",spec_eval,8,1,0,1,0,308,308,none,,,,11 1172 2038 25 54275 12669 198 750 15801 1445 982 470,", only code: ```python\ndef fib(n):\n return",,,,, n,,no_pattern_fired,1,0,3.909999941242859e-05,0.032620400001178496,0.00017210000078193843
"implement fibonacci in python, no comments, only code:",spec_eval,9,1,0,1,0,421,421,none,,,,1172 2038 25 54275 12669 198 750 15801 1445 982 470 308, only code: ```python\ndef fib(n):\n return n,,,,, if,,no_pattern_fired,1,0,8.209999941755086e-05,0.030782200003159232,8.289999823318794e-05
"implement fibonacci in python, no comments, only code:",spec_eval,10,1,0,1,0,308,308,none,,,,2038 25 54275 12669 198 750 15801 1445 982 470 308 421, code: ```python\ndef fib(n):\n return n if,,,,, n,,no_pattern_fired,1,0,6.060000305296853e-05,0.031132100004469976,0.00012720000086119398
"implement fibonacci in python, no comments, only code:",spec_eval,11,1,0,1,0,2651,2651,none,,,,25 54275 12669 198 750 15801 1445 982 470 308 421 308,: ```python\ndef fib(n):\n return n if n,,,,, <=,,no_pattern_fired,1,0,6.969999958528206e-05,0.03264530000160448,0.0001297999988310039
"implement fibonacci in python, no comments, only code:",spec_eval,12,1,0,1,0,220,220,none,,,,54275 12669 198 750 15801 1445 982 470 308 421 308 2651, ```python\ndef fib(n):\n return n if n <=,,,,, ,,no_pattern_fired,1,0,9.580000187270343e-05,0.032298500002070796,0.00013359999866224825
"implement fibonacci in python, no comments, only code:",spec_eval,0,1,3,2,1,770,770,det_ctx4,det_ctx4|syntax_n_guard_colon|syntax_indent,1.000|1.000|0.980,3|999|999,12669 198 750 15801 1445 982 470 308 421 308 2651 220,python\ndef fib(n):\n return n if n <= ,16 510 257,1:\n    ,16 770 770,1 else else, else,1,draft_token_mismatch,2,0,0.00021569999807979912,0.08837490000587422,0.0005784000022686087
"implement fibonacci in python, no comments, only code:",spec_eval,15,1,0,1,0,15801,15801,none,,,,750 15801 1445 982 470 308 421 308 2651 220 16 770,def fib(n):\n return n if n <= 1 else,,,,, fib,,no_pattern_fired,2,0,9.229999704984948e-05,0.03337389999796869,0.00012029999925289303
"implement fibonacci in python, no comments, only code:",spec_eval,16,1,0,1,0,1445,1445,none,,,,15801 1445 982 470 308 421 308 2651 220 16 770 15801, fib(n):\n return n if n <= 1 else fib,,,,,(n,,no_pattern_fired,2,0,7.750000077066943e-05,0.03228539999690838,0.00012319999950705096
"implement fibonacci in python, no comments, only code:",spec_eval,17,1,0,1,0,12,12,none,,,,1445 982 470 308 421 308 2651 220 16 770 15801 1445,(n):\n return n if n <= 1 else fib(n,,,,,-,,no_pattern_fired,2,0,7.170000026235357e-05,0.03105869999853894,7.700000423938036e-05
"implement fibonacci in python, no comments, only code:",spec_eval,0,1,1,2,1,8,8,syntax_minus_one,syntax_minus_one,0.930,999,982 470 308 421 308 2651 220 16 770 15801 1445 12,):\n return n if n <= 1 else fib(n-,16,1,16,1,),,draft_accepted,2,0,9.359999967273325e-05,0.035507100001268554,0.00032310000096913427
"implement fibonacci in python, no comments, only code:",spec_eval,20,1,0,1,0,488,488,none,,,,308 421 308 2651 220 16 770 15801 1445 12 16 8, n if n <= 1 else fib(n-1),,,,, +,,no_pattern_fired,2,0,9.560000034980476e-05,0.034381600002234336,0.00013819999730912969
"implement fibonacci in python, no comments, only code:",spec_eval,21,1,0,1,0,15801,15801,none,,,,421 308 2651 220 16 770 15801 1445 12 16 8 488, if n <= 1 else fib(n-1) +,,,,, fib,,no_pattern_fired,2,0,0.00010280000424245372,0.03324970000539906,0.000167199999850709
"implement fibonacci in python, no comments, only code:",spec_eval,22,1,0,1,0,1445,1445,none,,,,308 2651 220 16 770 15801 1445 12 16 8 488 15801, n <= 1 else fib(n-1) + fib,,,,,(n,,no_pattern_fired,2,0,9.189999400405213e-05,0.033305400000244845,0.00013949999993201345
"implement fibonacci in python, no comments, only code:",spec_eval,23,1,0,1,0,12,12,none,,,,2651 220 16 770 15801 1445 12 16 8 488 15801 1445, <= 1 else fib(n-1) + fib(n,,,,,-,,no_pattern_fired,2,0,8.459999662591144e-05,0.032792199999676086,0.00012539999443106353
"implement fibonacci in python, no comments, only code:",spec_eval,24,1,1,1,0,17,17,syntax_minus_one,syntax_minus_one,0.930,999,220 16 770 15801 1445 12 16 8 488 15801 1445 12, 1 else fib(n-1) + fib(n-,16,1,17,2,2,0,draft_token_mismatch,3,0,0.0001421999986632727,0.07038030000694562,0.00028389999351929873
"implement fibonacci in python, no comments, only code:",spec_eval,25,1,0,1,0,8,8,none,,,,16 770 15801 1445 12 16 8 488 15801 1445 12 17,1 else fib(n-1) + fib(n-2,,,,,),,no_pattern_fired,3,0,0.00013150000449968502,0.03267300000152318,0.00013059999764664099
"implement fibonacci in python, no comments, only code:",spec_eval,26,1,0,1,0,54275,54275,none,,,,770 15801 1445 12 16 8 488 15801 1445 12 17 8, else fib(n-1) + fib(n-2),,,,, ```,,no_pattern_fired,3,0,7.000000186963007e-05,0.03272020000440534,0.00011359999916749075
"implement fibonacci in python, no comments, only code:",spec_eval,27,1,0,1,0,151643,151643,none,,,,15801 1445 12 16 8 488 15801 1445 12 17 8 54275, fib(n-1) + fib(n-2) ```,,,,,,,no_pattern_fired,3,0,2.5999994250014424e-05,0.032998699993186165,0.000130899999930989
"implement fibonacci in python, no comments, only code:",spec_eval,28,1,0,1,0,33975,33975,none,,,,1445 12 16 8 488 15801 1445 12 17 8 54275 151643,(n-1) + fib(n-2) ```,,,,,Human,,no_pattern_fired,3,0,5.8400000852998346e-05,0.03287339999951655,8.990000060293823e-05
