prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,pattern_s,decode_s,verify_s
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,707,707,syntax_class_colon,syntax_class_colon|syntax_indent,1.000|0.980,999|999,2196 284 821 198 286 656 4529 284 2240 271 1040 22917,.data = data\n        self.next = None\n\nclass LinkedList,510 262,:\n   ,510 262,:\n   , def,,draft_accepted,2,0,0.00016290000348817557,0.07624090000172146,0.00017769999976735562
implement linked list in python only code no comments,spec_eval,33,1,0,1,0,1304,1304,none,,,,198 286 656 4529 284 2240 271 1040 22917 510 262 707,\n        self.next = None\n\nclass LinkedList:\n    def,,,,, __,,no_pattern_fired,2,0,4.189999890513718e-05,0.038265600000158884,0.00014959999680286273
implement linked list in python only code no comments,spec_eval,2,1,3,4,3,982,982,syntax_dunder_init,syntax_dunder_init|syntax_dunder_paren|syntax_dunder_self,1.000|1.000|1.000,999|999|999,286 656 4529 284 2240 271 1040 22917 510 262 707 1304,        self.next = None\n\nclass LinkedList:\n    def __,2327 3804 721,init__(self,2327 3804 721,init__(self,):\n,,draft_accepted,2,0,0.00011729999823728576,0.08587370000168448,0.00025209999876096845
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,16042,16042,syntax_indent,syntax_indent|det_ctx8,0.980|1.000,999|10,2240 271 1040 22917 510 262 707 1304 2327 3804 721 982, None\n\nclass LinkedList:\n    def __init__(self):\n,286 656,        self,286 656,        self,.head,,draft_accepted,2,0,0.0001362999973935075,0.0644733000008273,0.00023359999613603577
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,271,271,det_ctx8,det_ctx8|det_ctx8,1.000|1.000,3|3,22917 510 262 707 1304 2327 3804 721 982 286 656 16042, LinkedList:\n    def __init__(self):\n        self.head,284 2240, = None,284 2240, = None,\n\n,,draft_accepted,2,0,0.00017249999655177817,0.06682290000026114,0.00025489999825367704
implement linked list in python only code no comments,spec_eval,4,1,5,6,5,821,821,syntax_class_method_indent,syntax_class_method_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8,0.990|1.000|1.000|1.000|1.000,999|2|2|2|2,707 1304 2327 3804 721 982 286 656 16042 284 2240 271, def __init__(self):\n        self.head = None\n\n,262 707 8737 1193 11,"    def append(self,",262 707 8737 1193 11,"    def append(self,", data,,draft_accepted,2,0,0.00017810000281315297,0.13713599999755388,0.0007565000050817616
implement linked list in python only code no comments,spec_eval,11,1,12,13,12,16042,16042,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,2|999|2|2|2|3|3|3|3|3|3|3,286 656 16042 284 2240 271 262 707 8737 1193 11 821,"        self.head = None\n\n    def append(self, data",982 286 501 5084 284 6018 2592 340 286 421 537 656,):\n        new_node = Node(data)\n        if not self,982 286 501 5084 284 6018 2592 340 286 421 537 656,):\n        new_node = Node(data)\n        if not self,.head,,draft_accepted,2,0,0.00030729999707546085,0.09151199999905657,0.0008308000033139251
implement linked list in python only code no comments,spec_eval,8,1,9,10,9,470,470,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000|1.000,3|999|4|4|4|4|4|4|4,286 501 5084 284 6018 2592 340 286 421 537 656 16042,        new_node = Node(data)\n        if not self.head,510 310 656 16042 284 501 5084 198 310,:\n            self.head = new_node\n           ,510 310 656 16042 284 501 5084 198 310,:\n            self.head = new_node\n           , return,,draft_accepted,2,0,0.00030870000045979396,0.0887326000010944,0.0005678999950760044
implement linked list in python only code no comments,spec_eval,73,1,0,1,0,198,198,none,,,,656 16042 510 310 656 16042 284 501 5084 198 310 470, self.head:\n            self.head = new_node\n            return,,,,,\n,,no_pattern_fired,2,0,7.410000398522243e-05,0.05200930000137305,0.00017639999714447185
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,1537,1537,det_ctx4,det_ctx4,1.000,2,16042 510 310 656 16042 284 501 5084 198 310 470 198,.head:\n            self.head = new_node\n            return\n,286,       ,286,       , last,,draft_accepted,2,0,0.0001216000018757768,0.0621541000000434,0.000262100002146326
implement linked list in python only code no comments,spec_eval,76,1,0,1,0,5084,5084,none,,,,310 656 16042 284 501 5084 198 310 470 198 286 1537,            self.head = new_node\n            return\n        last,,,,,_node,,no_pattern_fired,2,0,5.879999662283808e-05,0.051136300004145596,9.340000542579219e-05
implement linked list in python only code no comments,spec_eval,77,1,0,1,0,284,284,none,,,,656 16042 284 501 5084 198 310 470 198 286 1537 5084, self.head = new_node\n            return\n        last_node,,,,, =,,no_pattern_fired,2,0,6.0699996538460255e-05,0.05136470000434201,0.00014009999722475186
implement linked list in python only code no comments,spec_eval,78,1,0,1,0,656,656,none,,,,16042 284 501 5084 198 310 470 198 286 1537 5084 284,.head = new_node\n            return\n        last_node =,,,,, self,,no_pattern_fired,2,0,8.410000009462237e-05,0.04895599999872502,0.00012419999984558672
implement linked list in python only code no comments,spec_eval,79,1,0,1,0,16042,16042,none,,,,284 501 5084 198 310 470 198 286 1537 5084 284 656, = new_node\n            return\n        last_node = self,,,,,.head,,no_pattern_fired,2,0,9.40000027185306e-05,0.048490299996046815,0.00018080000154441223
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,286,286,det_ctx4,det_ctx4,1.000,2,501 5084 198 310 470 198 286 1537 5084 284 656 16042, new_node\n            return\n        last_node = self.head,198,\n,198,\n,       ,,draft_accepted,2,0,0.0005142000009072945,0.05853529999876628,0.00024390000180574134
implement linked list in python only code no comments,spec_eval,82,1,0,1,0,1393,1393,none,,,,198 310 470 198 286 1537 5084 284 656 16042 198 286,\n            return\n        last_node = self.head\n       ,,,,, while,,no_pattern_fired,2,0,8.669999806443229e-05,0.04951180000352906,0.00018150000687455758
implement linked list in python only code no comments,spec_eval,83,1,0,1,0,1537,1537,none,,,,310 470 198 286 1537 5084 284 656 16042 198 286 1393,            return\n        last_node = self.head\n        while,,,,, last,,no_pattern_fired,2,0,0.000134599999000784,0.04995809999672929,9.03999971342273e-05
implement linked list in python only code no comments,spec_eval,84,1,2,1,0,5084,5084,syntax_while_colon,syntax_while_colon|syntax_indent,1.000|0.980,999|999,470 198 286 1537 5084 284 656 16042 198 286 1393 1537, return\n        last_node = self.head\n        while last,510 310,:\n           ,5084 310,_node           ,_node,0,draft_token_mismatch,3,0,0.0001610000035725534,0.07495010000275215,0.00025260000256821513
implement linked list in python only code no comments,spec_eval,85,1,2,1,0,4529,4529,syntax_while_colon,syntax_while_colon|syntax_indent,1.000|0.980,999|999,198 286 1537 5084 284 656 16042 198 286 1393 1537 5084,\n        last_node = self.head\n        while last_node,510 310,:\n           ,4529 310,.next           ,.next,0,draft_token_mismatch,4,0,0.00011980000272160396,0.07441539999854285,0.0002592000018921681
implement linked list in python only code no comments,spec_eval,86,1,0,1,0,510,510,none,,,,286 1537 5084 284 656 16042 198 286 1393 1537 5084 4529,        last_node = self.head\n        while last_node.next,,,,,:\n,,no_pattern_fired,4,0,7.03999976394698e-05,0.04948739999963436,9.979999595088884e-05
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,1537,1537,syntax_indent,syntax_indent,0.980,999,1537 5084 284 656 16042 198 286 1393 1537 5084 4529 510, last_node = self.head\n        while last_node.next:\n,310,           ,310,           , last,,draft_accepted,4,0,8.689999958733097e-05,0.057877799998095725,0.0001612999985809438
implement linked list in python only code no comments,spec_eval,89,1,0,1,0,5084,5084,none,,,,284 656 16042 198 286 1393 1537 5084 4529 510 310 1537, = self.head\n        while last_node.next:\n            last,,,,,_node,,no_pattern_fired,4,0,5.8099998568650335e-05,0.049687200000335,8.649999654153362e-05
implement linked list in python only code no comments,spec_eval,90,1,0,1,0,284,284,none,,,,656 16042 198 286 1393 1537 5084 4529 510 310 1537 5084, self.head\n        while last_node.next:\n            last_node,,,,, =,,no_pattern_fired,4,0,5.94000011915341e-05,0.0498615999968024,0.00010119999933522195
implement linked list in python only code no comments,spec_eval,91,1,0,1,0,1537,1537,none,,,,16042 198 286 1393 1537 5084 4529 510 310 1537 5084 284,.head\n        while last_node.next:\n            last_node =,,,,, last,,no_pattern_fired,4,0,8.740000339457765e-05,0.046750999994401354,9.31999966269359e-05
implement linked list in python only code no comments,spec_eval,92,1,0,1,0,5084,5084,none,,,,198 286 1393 1537 5084 4529 510 310 1537 5084 284 1537,\n        while last_node.next:\n            last_node = last,,,,,_node,,no_pattern_fired,4,0,7.9699995694682e-05,0.04703549999976531,0.00012379999679978937
implement linked list in python only code no comments,spec_eval,93,1,0,1,0,4529,4529,none,,,,286 1393 1537 5084 4529 510 310 1537 5084 284 1537 5084,        while last_node.next:\n            last_node = last_node,,,,,.next,,no_pattern_fired,4,0,5.850000161444768e-05,0.047037900003488176,0.00013729999773204327
implement linked list in python only code no comments,spec_eval,94,1,0,1,0,198,198,none,,,,1393 1537 5084 4529 510 310 1537 5084 284 1537 5084 4529, while last_node.next:\n            last_node = last_node.next,,,,,\n,,no_pattern_fired,4,0,7.750000077066943e-05,0.047681700001703575,9.539999882690609e-05
implement linked list in python only code no comments,spec_eval,95,1,0,1,0,286,286,none,,,,1537 5084 4529 510 310 1537 5084 284 1537 5084 4529 198, last_node.next:\n            last_node = last_node.next\n,,,,,       ,,no_pattern_fired,4,0,5.5500000598840415e-05,0.04805320000014035,0.00012689999857684597
implement linked list in python only code no comments,spec_eval,96,1,0,1,0,1537,1537,none,,,,5084 4529 510 310 1537 5084 284 1537 5084 4529 198 286,_node.next:\n            last_node = last_node.next\n       ,,,,, last,,no_pattern_fired,4,0,4.8800000513438135e-05,0.04694719999679364,9.240000508725643e-05
implement linked list in python only code no comments,spec_eval,97,1,0,1,0,5084,5084,none,,,,4529 510 310 1537 5084 284 1537 5084 4529 198 286 1537,.next:\n            last_node = last_node.next\n        last,,,,,_node,,no_pattern_fired,4,0,5.94000011915341e-05,0.047747299999173265,0.00012090000382158905
implement linked list in python only code no comments,spec_eval,98,1,0,1,0,4529,4529,none,,,,510 310 1537 5084 284 1537 5084 4529 198 286 1537 5084,:\n            last_node = last_node.next\n        last_node,,,,,.next,,no_pattern_fired,4,0,7.550000009359792e-05,0.04623609999543987,0.00013020000187680125
implement linked list in python only code no comments,spec_eval,99,1,0,1,0,284,284,none,,,,310 1537 5084 284 1537 5084 4529 198 286 1537 5084 4529,            last_node = last_node.next\n        last_node.next,,,,, =,,no_pattern_fired,4,0,8.070000330917537e-05,0.047267600006307475,7.690000347793102e-05
implement linked list in python only code no comments,spec_eval,100,1,0,1,0,501,501,none,,,,1537 5084 284 1537 5084 4529 198 286 1537 5084 4529 284, last_node = last_node.next\n        last_node.next =,,,,, new,,no_pattern_fired,4,0,7.370000093942508e-05,0.046844600001350045,8.759999764151871e-05
implement linked list in python only code no comments,spec_eval,101,1,0,1,0,5084,5084,none,,,,5084 284 1537 5084 4529 198 286 1537 5084 4529 284 501,_node = last_node.next\n        last_node.next = new,,,,,_node,,no_pattern_fired,4,0,5.909999890718609e-05,0.04720859999360982,0.00013210000179242343
implement linked list in python only code no comments,spec_eval,102,1,0,1,0,271,271,none,,,,284 1537 5084 4529 198 286 1537 5084 4529 284 501 5084, = last_node.next\n        last_node.next = new_node,,,,,\n\n,,no_pattern_fired,4,0,5.980000423733145e-05,0.04762730000220472,0.00012599999899975955
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,73647,73647,det_ctx4,det_ctx4|det_ctx5,1.000|1.000,3|3,1537 5084 4529 198 286 1537 5084 4529 284 501 5084 271, last_node.next\n        last_node.next = new_node\n\n,262 707,    def,262 707,    def, prepend,,draft_accepted,4,0,0.00015490000077988952,0.07262199999968288,0.00019240000256104395
implement linked list in python only code no comments,spec_eval,106,1,0,1,0,1193,1193,none,,,,198 286 1537 5084 4529 284 501 5084 271 262 707 73647,\n        last_node.next = new_node\n\n    def prepend,,,,,(self,,no_pattern_fired,4,0,6.749999738531187e-05,0.04918399999587564,9.509999654255807e-05
implement linked list in python only code no comments,spec_eval,107,1,0,1,0,11,11,none,,,,286 1537 5084 4529 284 501 5084 271 262 707 73647 1193,        last_node.next = new_node\n\n    def prepend(self,,,,,",",,no_pattern_fired,4,0,4.959999932907522e-05,0.048608299999614246,7.360000017797574e-05
implement linked list in python only code no comments,spec_eval,108,1,0,1,0,821,821,none,,,,1537 5084 4529 284 501 5084 271 262 707 73647 1193 11," last_node.next = new_node\n\n    def prepend(self,",,,,, data,,no_pattern_fired,4,0,5.6400000175926834e-05,0.04681400000117719,9.169999975711107e-05
implement linked list in python only code no comments,spec_eval,109,1,0,1,0,982,982,none,,,,5084 4529 284 501 5084 271 262 707 73647 1193 11 821,"_node.next = new_node\n\n    def prepend(self, data",,,,,):\n,,no_pattern_fired,4,0,5.7999997807201e-05,0.046743599996261764,9.729999874252826e-05
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,501,501,syntax_indent,syntax_indent,0.980,999,4529 284 501 5084 271 262 707 73647 1193 11 821 982,".next = new_node\n\n    def prepend(self, data):\n",286,       ,286,       , new,,draft_accepted,4,0,8.459999662591144e-05,0.05586320000293199,0.00016960000357357785
implement linked list in python only code no comments,spec_eval,5,1,12,7,6,501,501,det_ctx5,det_ctx5|det_ctx7|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|syntax_indent,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|0.980,3|3|3|3|3|3|3|3|3|3|3|999,501 5084 271 262 707 73647 1193 11 821 982 286 501," new_node\n\n    def prepend(self, data):\n        new",5084 284 6018 2592 340 286 421 537 656 16042 510 310,_node = Node(data)\n        if not self.head:\n           ,5084 284 6018 2592 340 286 501 537 656 16042 510 310,_node = Node(data)\n        new not self.head:\n           , new,6,draft_token_mismatch,5,0,0.00031969999690772966,0.06991939999716124,0.0011546999958227389
implement linked list in python only code no comments,spec_eval,119,1,0,1,0,5084,5084,none,,,,11 821 982 286 501 5084 284 6018 2592 340 286 501,", data):\n        new_node = Node(data)\n        new",,,,,_node,,no_pattern_fired,5,0,5.419999797595665e-05,0.04828059999999823,0.0001401999979862012
implement linked list in python only code no comments,spec_eval,120,1,0,1,0,4529,4529,none,,,,821 982 286 501 5084 284 6018 2592 340 286 501 5084, data):\n        new_node = Node(data)\n        new_node,,,,,.next,,no_pattern_fired,5,0,7.18000010238029e-05,0.048748699999123346,7.789999654050916e-05
implement linked list in python only code no comments,spec_eval,121,1,0,1,0,284,284,none,,,,982 286 501 5084 284 6018 2592 340 286 501 5084 4529,):\n        new_node = Node(data)\n        new_node.next,,,,, =,,no_pattern_fired,5,0,4.669999907491729e-05,0.04536770000413526,0.00011960000119870529
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,198,198,det_ctx4,det_ctx4|det_ctx5,1.000|1.000,4|4,286 501 5084 284 6018 2592 340 286 501 5084 4529 284,        new_node = Node(data)\n        new_node.next =,656 16042, self.head,656 16042, self.head,\n,,draft_accepted,5,0,0.0001047000041580759,0.0705283999996027,0.00017769999976735562
implement linked list in python only code no comments,spec_eval,125,1,0,1,0,286,286,none,,,,284 6018 2592 340 286 501 5084 4529 284 656 16042 198, = Node(data)\n        new_node.next = self.head\n,,,,,       ,,no_pattern_fired,5,0,3.970000398112461e-05,0.047918700001901016,0.00012029999925289303
implement linked list in python only code no comments,spec_eval,126,1,1,1,0,656,656,det_ctx8,det_ctx8,1.000,2,6018 2592 340 286 501 5084 4529 284 656 16042 198 286, Node(data)\n        new_node.next = self.head\n       ,770, else,656, self, self,0,draft_token_mismatch,6,0,6.930000381544232e-05,0.05730559999938123,0.0002069000038318336
implement linked list in python only code no comments,spec_eval,127,1,0,1,0,16042,16042,none,,,,2592 340 286 501 5084 4529 284 656 16042 198 286 656,(data)\n        new_node.next = self.head\n        self,,,,,.head,,no_pattern_fired,6,0,2.4999972083605826e-06,0.04602380000142148,8.969999908003956e-05
"implement fibonacci in python, no comments, only code:",spec_eval,1,1,0,1,0,12669,12669,none,,,,94474 75698 304 10135 11 902 6042 11 1172 2038 25 54275,"implement fibonacci in python, no comments, only code: ```",,,,,python,,no_pattern_fired,0,0,3.580000338843092e-05,0.03309869999793591,0.00011580000136746094
"implement fibonacci in python, no comments, only code:",spec_eval,2,1,0,1,0,198,198,none,,,,75698 304 10135 11 902 6042 11 1172 2038 25 54275 12669," fibonacci in python, no comments, only code: ```python",,,,,\n,,no_pattern_fired,0,0,7.509999704780057e-05,0.03255930000159424,0.00012599999899975955
"implement fibonacci in python, no comments, only code:",spec_eval,0,1,1,2,1,15801,15801,syntax_code_fence_def,syntax_code_fence_def,0.970,999,304 10135 11 902 6042 11 1172 2038 25 54275 12669 198," in python, no comments, only code: ```python\n",750,def,750,def, fib,,draft_accepted,0,0,9.720000525703654e-05,0.036719399999128655,0.0001919999995152466
"implement fibonacci in python, no comments, only code:",spec_eval,5,1,0,1,0,1445,1445,none,,,,11 902 6042 11 1172 2038 25 54275 12669 198 750 15801,", no comments, only code: ```python\ndef fib",,,,,(n,,no_pattern_fired,0,0,5.810000584460795e-05,0.03278169999975944,0.00012769999739248306
"implement fibonacci in python, no comments, only code:",spec_eval,6,1,0,1,0,982,982,none,,,,902 6042 11 1172 2038 25 54275 12669 198 750 15801 1445," no comments, only code: ```python\ndef fib(n",,,,,):\n,,no_pattern_fired,0,0,7.059999916236848e-05,0.032400800002506,0.00012150000111432746
"implement fibonacci in python, no comments, only code:",spec_eval,7,1,1,1,0,470,470,syntax_indent,syntax_indent,0.980,999,6042 11 1172 2038 25 54275 12669 198 750 15801 1445 982," comments, only code: ```python\ndef fib(n):\n",262,   ,470, return, return,0,draft_token_mismatch,1,0,0.00010150000161956996,0.03677520000201184,0.00013590000162366778
"implement fibonacci in python, no comments, only code:",spec_eval,8,1,0,1,0,308,308,none,,,,11 1172 2038 25 54275 12669 198 750 15801 1445 982 470,", only code: ```python\ndef fib(n):\n return",,,,, n,,no_pattern_fired,1,0,4.2299994674976915e-05,0.0333569000067655,0.00010279999696649611
"implement fibonacci in python, no comments, only code:",spec_eval,9,1,0,1,0,421,421,none,,,,1172 2038 25 54275 12669 198 750 15801 1445 982 470 308, only code: ```python\ndef fib(n):\n return n,,,,, if,,no_pattern_fired,1,0,6.849999772384763e-05,0.03230890000122599,0.00010000000474974513
"implement fibonacci in python, no comments, only code:",spec_eval,10,1,0,1,0,308,308,none,,,,2038 25 54275 12669 198 750 15801 1445 982 470 308 421, code: ```python\ndef fib(n):\n return n if,,,,, n,,no_pattern_fired,1,0,5.9799996961373836e-05,0.0316166000047815,8.820000221021473e-05
"implement fibonacci in python, no comments, only code:",spec_eval,11,1,0,1,0,2651,2651,none,,,,25 54275 12669 198 750 15801 1445 982 470 308 421 308,: ```python\ndef fib(n):\n return n if n,,,,, <=,,no_pattern_fired,1,0,4.549999721348286e-05,0.032918000004428905,6.990000110818073e-05
"implement fibonacci in python, no comments, only code:",spec_eval,12,1,0,1,0,220,220,none,,,,54275 12669 198 750 15801 1445 982 470 308 421 308 2651, ```python\ndef fib(n):\n return n if n <=,,,,, ,,no_pattern_fired,1,0,9.879999561235309e-05,0.03320320000057109,8.510000043315813e-05
"implement fibonacci in python, no comments, only code:",spec_eval,0,1,3,2,1,770,770,det_ctx4,det_ctx4|syntax_n_guard_colon|syntax_indent,1.000|1.000|0.980,3|999|999,12669 198 750 15801 1445 982 470 308 421 308 2651 220,python\ndef fib(n):\n return n if n <= ,16 510 257,1:\n    ,16 770 770,1 else else, else,1,draft_token_mismatch,2,0,0.00014180000289343297,0.057158700001309626,0.00025379999715369195
"implement fibonacci in python, no comments, only code:",spec_eval,15,1,0,1,0,15801,15801,none,,,,750 15801 1445 982 470 308 421 308 2651 220 16 770,def fib(n):\n return n if n <= 1 else,,,,, fib,,no_pattern_fired,2,0,6.500000017695129e-05,0.032905900006880984,0.00012429999333107844
"implement fibonacci in python, no comments, only code:",spec_eval,16,1,0,1,0,1445,1445,none,,,,15801 1445 982 470 308 421 308 2651 220 16 770 15801, fib(n):\n return n if n <= 1 else fib,,,,,(n,,no_pattern_fired,2,0,7.6299998909235e-05,0.03343920000042999,0.00011799999629147351
"implement fibonacci in python, no comments, only code:",spec_eval,17,1,0,1,0,12,12,none,,,,1445 982 470 308 421 308 2651 220 16 770 15801 1445,(n):\n return n if n <= 1 else fib(n,,,,,-,,no_pattern_fired,2,0,8.07999967946671e-05,0.032964399993943516,9.509999654255807e-05
"implement fibonacci in python, no comments, only code:",spec_eval,0,1,1,2,1,8,8,syntax_minus_one,syntax_minus_one,0.930,999,982 470 308 421 308 2651 220 16 770 15801 1445 12,):\n return n if n <= 1 else fib(n-,16,1,16,1,),,draft_accepted,2,0,0.00010240000119665638,0.036922699997376185,0.0001663999937591143
"implement fibonacci in python, no comments, only code:",spec_eval,20,1,0,1,0,488,488,none,,,,308 421 308 2651 220 16 770 15801 1445 12 16 8, n if n <= 1 else fib(n-1),,,,, +,,no_pattern_fired,2,0,6.199999916134402e-05,0.03313709999929415,0.00010929999552899972
"implement fibonacci in python, no comments, only code:",spec_eval,21,1,0,1,0,15801,15801,none,,,,421 308 2651 220 16 770 15801 1445 12 16 8 488, if n <= 1 else fib(n-1) +,,,,, fib,,no_pattern_fired,2,0,6.749999738531187e-05,0.03289780000341125,7.309999637072906e-05
"implement fibonacci in python, no comments, only code:",spec_eval,22,1,0,1,0,1445,1445,none,,,,308 2651 220 16 770 15801 1445 12 16 8 488 15801, n <= 1 else fib(n-1) + fib,,,,,(n,,no_pattern_fired,2,0,6.659999780822545e-05,0.03225249999377411,0.00012390000483719632
"implement fibonacci in python, no comments, only code:",spec_eval,23,1,0,1,0,12,12,none,,,,2651 220 16 770 15801 1445 12 16 8 488 15801 1445, <= 1 else fib(n-1) + fib(n,,,,,-,,no_pattern_fired,2,0,8.19000051706098e-05,0.032826100003148895,7.890000415500253e-05
"implement fibonacci in python, no comments, only code:",spec_eval,24,1,1,1,0,17,17,syntax_minus_one,syntax_minus_one,0.930,999,220 16 770 15801 1445 12 16 8 488 15801 1445 12, 1 else fib(n-1) + fib(n-,16,1,17,2,2,0,draft_token_mismatch,3,0,9.519999730400741e-05,0.03746600000158651,0.0002516000022296794
"implement fibonacci in python, no comments, only code:",spec_eval,25,1,0,1,0,8,8,none,,,,16 770 15801 1445 12 16 8 488 15801 1445 12 17,1 else fib(n-1) + fib(n-2,,,,,),,no_pattern_fired,3,0,0.00012370000331429765,0.03465929999947548,9.220000356435776e-05
"implement fibonacci in python, no comments, only code:",spec_eval,26,1,0,1,0,54275,54275,none,,,,770 15801 1445 12 16 8 488 15801 1445 12 17 8, else fib(n-1) + fib(n-2),,,,, ```,,no_pattern_fired,3,0,5.339999916031957e-05,0.033919900000910275,0.0001264000020455569
"implement fibonacci in python, no comments, only code:",spec_eval,27,1,0,1,0,151643,151643,none,,,,15801 1445 12 16 8 488 15801 1445 12 17 8 54275, fib(n-1) + fib(n-2) ```,,,,,,,no_pattern_fired,3,0,3.7500001781154424e-05,0.03224500000214903,0.0001362999973935075
"implement fibonacci in python, no comments, only code:",spec_eval,28,1,0,1,0,33975,33975,none,,,,1445 12 16 8 488 15801 1445 12 17 8 54275 151643,(n-1) + fib(n-2) ```,,,,,Human,,no_pattern_fired,3,0,6.179999763844535e-05,0.03188949999457691,9.860000136541203e-05
